method,scenario,file_bytes,mean_time_s,std_time_s,min_time_s,max_time_s,mean_cost,std_cost,min_cost,max_cost,n_runs,n_after_outlier_removal,outliers_removed,runs
edgedis,failed_servers,25165824,2.133,0.38439042651970406,1.739,2.507,34.888888888888886,2.694301256218251,32.0,37.33333333333333,3,3,0,3
edgehydra,failed_servers,25165824,0.20099999999999998,0.0441927595879687,0.162,0.249,37.333333333333336,0.0,37.333333333333336,37.333333333333336,3,3,0,3
edgedis,normal,25165824,2.707333333333333,0.36124276232657365,2.427,3.115,33.55555555555555,0.38490017945975324,33.33333333333333,34.0,3,3,0,3
edgehydra,normal,25165824,0.21633333333333335,0.037806525010020874,0.187,0.259,39.11111111111112,0.0,39.11111111111112,39.11111111111112,3,3,0,3
edgedis,slow_servers,25165824,2.587666666666667,0.2685522916181005,2.35,2.879,34.22222222222222,2.036700308869262,32.0,36.0,3,3,0,3
edgehydra,slow_servers,25165824,0.26133333333333336,0.009018499505645797,0.252,0.27,39.11111111111112,0.0,39.11111111111112,39.11111111111112,3,3,0,3
